id_cliente,nome,email,idade,cidade,data_cadastro,telefone
679,GUSTAVO SLIVA,gustavo.sliva@gmail.com,32,rio de janeiro,2023-02-16 00:00:00,(70)92664-8803
880,Lucas dos Mendes,lucas.dos.mendes@empresa.com.br,41,sãopualo,2022-06-21 00:00:00,0000
901,  pedro rocha ,,44, Salvador,2021-07-26 00:00:00,(83)91748-8658
244, Diego Pinto  ,diego.pinto256@yahoo.com.br,32,Niteroi,2022-05-11 00:00:00,XXXXX
329,HELENA MOURA,helena.moura@hotmail.com,79,sãopaulo,2023-04-25 00:00:00,(50)93669-3911
462,M. Araujo,m.araujo@yahoo.com.br,40,Recife,2022-03-02 00:00:00,(96)92072-6543
255,CAIMLA MOURA,caimla.moura@empresa.com.br,66,SAO PAULO,2022-03-24 00:00:00,(87)95764-1606
82,EDUARDO SOUZA,eduardo.souza@gmail.com,999,Fortaleza,2021-02-04 00:00:00,(60)99856-6435
44, Larissa Campos,larissa.camposgmail.com,64,Salvadro,2020-01-16 00:00:00,(69)92275-6129
951,RAFAEL MOURA,rafael.moura@yahoo.com.br,41,SAOPAULO,2022-10-27 00:00:00,(74)93110-5162
1146,MARIANA SOUZA,mariana.souza@ ,78,CTBA,2023-01-15 00:00:00,(37)93996-7778
662,PAULO ALMEIDA,paulo.almeida@outlook.com,79,Brasília,2023-06-19 00:00:00,(36)96313-8251
856,Carlos Araujo,carlos.araujo@gmail.com,,sãopaulo,2022-04-02 00:00:00,
209,vitor almeida,vitor.almeida348@empresa.com.br,-1,bh,2021-08-09 00:00:00,XXXXX
931,mateus nunes sr.,mateus.nunes.sr.@outlook.com,77,SJC,2021-06-28 00:00:00,(37)96287-2574
399,Valentina da Mendes,valentina.da.mendes@gmail.com,76,BH,2021-03-18 00:00:00,(79)99300-5007
1049,Tiago de Campos,tiago.de.campos@hotmail.com,58,brasília,2021-03-10 00:00:00,(31)98513-4897
1184,LIVIA SILVA,,70,sp,2022-09-15 00:00:00,
744,Camila Pinto,camila.pinto@empresa.com.br,2,RIO DE JANEIRO,2022-09-08 00:00:00,(31)95621-4471
577,carlos silva ,carlos.silva@empresa.com.br,47,Manaus,2021-12-04 00:00:00,(84)92689-6573
975,valentina gomes,valentina.gomes@outlook.com,28, SP,2021-06-16 00:00:00,(61)95769-8679
668,JULIA DO PINTO,julia.do.pinto@hotmail.com,61,SJC,2022-10-15 00:00:00,(47)98863-1112
1099,Vitor Barbosa,vitor.barbosa@yahoo.com.br,47,Belo Horizonte,2023-03-26 00:00:00,(32)99763-8731
673,DIEGO SOUZA,diego.souza@hotmail.com,71,  Fortaleza,2022-04-27 00:00:00,(56)92747-3234
391,Samueld o Ribeiro,samueld.o.ribeiro@outlook.com,78,CTBA,2022-06-01 00:00:00,
618,AnaS ouza,anas.ouza@empresa.com.br,78,Brasília,2023-01-11 00:00:00,(96)95808-3725
197,  Laura Nunes ,laura.nunes112@yahoo.com.br,64,belo horizonte,2021-09-01 00:00:00,(29)93444-8421
630, Clara Ferreira  ,clara.ferreira589@yahoo.com.br,-1,SÃO PAULO,2021-05-19 00:00:00,(38)93228-5562
880,Lucas dos Mendes,lucas.dos.mendes@empresa.com.br,41,sãopualo,2022-06-21 00:00:00,0000
986, Sofia Lima,sofia.lima@empresa.com.br,trinta,,2020-08-22 00:00:00,(31)94798-4155
584,SAMUEL ROCHA,samuel.rocha@hotmail.com,43,Sao Jose dos Campos,2022-03-17 00:00:00,(93)91116-5994
797,Maria Ribeiro,maria.ribeiro@outlook.com,41,SÃO PUALO,2020-08-22 00:00:00,(64)98961-7348
193,PEDRO SOUZA,pedro.souza@yahoo.com.br,84,belo horizonte,2021-11-15 00:00:00,XXXXX
452,diego campos,diego.campos@ ,64,Sao Paulo,2023-10-25 00:00:00,(85)97911-7451
997,IGOR NUNES JR,igor.nunes@user#mail.com,52,Niterói,2021-09-16 00:00:00,(15)94617-7759
491, IGO RNUNES ,igo.rnunes@outlook.com,29,CAMPINAS,2023-02-06 00:00:00,(86)95970-6913
424,Vitor Santana ,vitor.santana@hotmail.com,26,recife,2021-07-28 00:00:00,(58)91372-7378
295,LauraC osta,laurac.osta@gmail.com,44,recfie,2022-05-07 00:00:00,
383,Sandra Martins,sandra.martins@yahoo.com.br,66,Sao Paulo,2020-05-01 00:00:00,XXXXX
169,Fernanda Nunes,fernanda.nunes@yahoo.com.br,, salvador ,2022-11-29 00:00:00,(81)93627-2128
940,  bruno ribeiro,,80,SP,2022-10-15 00:00:00,(53)97924-6987
1048,Camila Carvalho,,43, rio de janeiro  ,2021-05-20 00:00:00,(60)92538-4167
378,Lucas Souza,lucas.souza@empresa.com.br,64,Goiania  ,2021-12-16 00:00:00,0000
993,ANA OLIVEIRA,ana.oliveira@gmail.com,27,Fortaleza,2020-08-19 00:00:00,(84)93141-1757
1038,JOÃO ALMEIDA,,34,NITERÓI,2023-01-15 00:00:00,0000
666,RENATO DE SANTAAN  ,renato.de.santaan207@gmail.com,71,Niterói,2021-11-18 00:00:00,(20)93702-7985
622, Fernanda dos Pinto  ,fernanda.dos.pinto@user#mail.com,48,SãoPaulo,2023-01-03 00:00:00,(83)92690-3473
431,GUSTAVOT EIXEIRA,gustavot.eixeira@mail(at)domain.com,17,Fortaleza,2022-02-17 00:00:00,(69)91008-5124
772,Marcos do Martins,marcos.do.martins@empresa.com.br,24,bh,2022-08-24 00:00:00,(15)91979-3443
554,  larissa souza,larissa.souza@yahoo.com.br,18,  VILA VELHA  ,2022-02-27 00:00:00,(28)98629-2008
948,BRUON ARAUJO,bruon.araujo@yahoo.com.br,20,rio de janerio,2021-11-08 00:00:00,(63)96907-9995
1109,  helena souza  ,helena.souza@yahoo.com.br,-25,Manaus,2023-05-19 00:00:00,(93)97089-2862
718,Diego dos Mratins,diego.dos.mratins@empresa.com.br,49,SAO JOSE DOS CAMPOS,2022-03-06 00:00:00,(89)91570-6834
50,Mateus de Costa,mateus.de.costa@outlook.com,37, Campinas  ,2021-02-28 00:00:00,(41)96070-8684
888,Maria do Almeida,maria.do.almeida@yahoo.com.br,79,BRASILIA,2021-11-01 00:00:00,(13)99947-7408
260,clara mendes,clara.mendes@outlook.com,999, Vila Velha ,2022-10-04 00:00:00,
819,camila silva ,camila.silva@yahoo.com.br,55,SP,2021-06-05 00:00:00,(79)98156-8541
738,gustavo silva,gustavo.silva@None,67,RJ,2021-11-03 00:00:00,
655,h ugo pinto ,h.ugo.pinto@outlook.com,-25,SãoPaulo,2021-09-26 00:00:00,(34)92848-4924
669,Ana Silva,ana.silva836@yahoo.com.br,70,GIOANIA,2021-11-23 00:00:00,(71)94263-1616
619,Smauel do Santana,,48,BELO HORIZONTE,2022-04-08 00:00:00,(75)93372-5370
79,HUGO TEIXEIRA,hugo.teixeira@hotmail.com,39,Desconhecido,2023-09-01 00:00:00,
64,ALICE CARVALHO,,76,POA,2021-03-06 00:00:00,XXXXX
1000,PAUOL MENDES,pauol.mendes@outlook.com,-25,SJC,2021-12-21 00:00:00,XXXXX
835,pedro barbosa,pedro.barbosa@gmail.com,64,Niterói ,2021-09-08 00:00:00,(49)91736-1431
959,CAMILA FERREIRA,,46,desconhecido,2021-02-07 00:00:00,
304,RAFAEL COSAT,rafael.cosat@empresa.com.br,46, Roi  ,2023-01-28 00:00:00,(43)98803-3016
171,bruno souza,bruno.souza@outlook.com,42,manasu,2021-01-30 00:00:00,(18)95355-9667
1074,MARIA ALMEIDA,maria.almeida@empresa.com.br,34,poa  ,2021-11-27 00:00:00,(45)98170-2310
77,marcos ribeiro,marcos.ribeiro@hotmail.com,42,Niteroi  ,2023-04-10 00:00:00,(37)97498-4921
788,mateus souza,mateus.souza@yahoo.com.br,45,BELO HORIZONTE,2022-07-05 00:00:00,(24)95276-7564
674,  Julia Almeida ,julia.almeida@outlook.com,trinta,RECIFE,2022-03-14 00:00:00,(61)97355-4625
129,LUCAS DA SOUZA,lucas.da.souza@gmail.com,74,RJ,2021-11-07 00:00:00,XXXXX
869,Mateus de Rocha ,mateus.de.rocha@hotmail.com,85,  BH  ,2021-08-16 00:00:00,(39)99158-2372
535, Laura Mendes ,laura.mendes@outlook.com,49,vilav elha,2021-05-31 00:00:00,(21)99993-9946
298,Samuel Gomes,samuel.gomes@yahoo.com.br,65,DESCONHECIDO,2022-10-04 00:00:00,(14)93422-5281
586,Carlos Ribeiro,carlos.ribeiro@mail(at)domain.com,74,  Brasília  ,2021-07-24 00:00:00,(33)93542-4507
950,BEATRIZ DA SILVA,beatriz.da.silva@outlook.com,,BH,2021-11-11 00:00:00,(29)91499-9668
716,Calros Mendes,calros.mendes@yahoo.com.br,60,SP,2022-08-03 00:00:00,(69)93224-9043
611,HUGO FERREIRA,hugo.ferreira@outlook.com,59,  Fortaleza,2020-08-08 00:00:00,XXXXX
786,Gustavo Almeida,gustavo.almeida@gmail.com,64,NITERÓI,2020-06-11 00:00:00,(87)92386-3535
742,  camila silva  ,camila.silva@gmail.com,107,salvador,2022-02-21 00:00:00,(57)96765-8627
45,camila teixeira,camila.teixeira@empresa.com.br,66,  Nitero i ,2023-08-20 00:00:00,(93)93419-4871
732,LIVIA ROCHA,livia.rocha791@user#mail.com,58,SP,2021-02-24 00:00:00,(13)95699-7513
309,vitor lima,vitor.lima@hotmail.com,23,  SP  ,2021-03-15 00:00:00,(62)95014-1556
1196,H. Lima,,29,BH,2021-12-07 00:00:00,
32,João Costa,joão.costa@outlook.com,85,SAO PAULO,2023-06-17 00:00:00,
1064,eduardo ribeiro,eduardo.ribeiro@gmail.com,-1,  Rio de Janeiro,2021-06-22 00:00:00,(14)98155-4425
359,Diego Moura,diego.moura@yahoo.com.br,42,goiania ,2022-11-04 00:00:00,
410,mariana olievira,mariana.olievira@hotmail.com,52,SãoPaulo,2021-12-09 00:00:00,(44)98202-5334
124,Rafael do Araujo ,rafael.do.araujo@empresa.com.br,58,manaus,2020-04-21 00:00:00,(31)99021-2442
87,TIAGO BARBOSA,tiago.barbosa@ ,24, SJC,2023-07-30 00:00:00,(59)92211-8357
761,Tiago Costa,tiago.costa@hotmail.com,22,POA,2022-07-30 00:00:00,(27)97133-5117
694,pedro carvalho,pedro.carvalho@empresa.com.br,33,Belo Horizonte,2021-12-14 00:00:00,(45)98129-1147
561,Vitor Almeida,vitor.almeida@gmail.com,22,POA,2022-10-23 00:00:00,
102,eRnato Araujo,ernato.araujo@outlook.com,74,POA,2023-06-15 00:00:00,XXXXX
423,Julia Pereira,julia.pereira@hotmail.com,29,Brasília,2021-07-14 00:00:00,(74)98600-5690
1144, Carlos da Pereira jr,carlos.da.pereira.jr@yahoo.com.br,83,,2021-03-03 00:00:00,(60)95097-8541
562,Vitor Ferreira,vitor.ferreira@yahoo.com.br,74,SÃO PAULO,2022-09-17 00:00:00,(42)93407-6412
219,Gustavo do Nunes,gustavo.do.nunes@yahoo.com.br,-25,BH,2022-05-31 00:00:00,(48)98405-7031
310,Julia Rocha,julia.rocha@empresa.com.br,26,  SP  ,2022-02-23 00:00:00,XXXXX
299,LIVIA CAMPOS  ,livia.campos@gmail.com,48,Goiania,2022-12-16 00:00:00,(22)92790-6642
290,Helena Almeida,helena.almeida@user#mail.com,75,sao paulo,2021-09-03 00:00:00,
1020,sofia rocha,,999,  curitbia  ,2021-07-26 00:00:00,
582,Vitor Nunes,vitor.nunes@outlook.com,52,SãoPaulo  ,2021-02-21 00:00:00,
114,DIEGO SILVA,diego.silva@outlook.com,146,SALVADOR,2023-01-12 00:00:00,(72)94271-2589
549,Maria Souza  ,maria.souza@mail(at)domain.com,63,Sao Paulo,2022-03-10 00:00:00,(75)95749-5786
707,  Maria dos Souza  ,maria.dos.souza@None,53,bh,2021-10-10 00:00:00,(69)97073-8176
848,b. ipnto,b.ipntooutlook.com,50, campinas ,2021-04-24 00:00:00,(95)94360-5483
1063,LARISSA OLIVEIRA,larissa.oliveira@mail(at)domain.com,72,Sao Jose dos Campos,2021-10-23 00:00:00,(97)97172-1078
175,Marcos Oliveira,marcos.oliveira@outlook.com,71,CURITIBA,2020-05-06 00:00:00,(91)97266-1886
650,Eduardo de Amleida,eduardo.de.amleida@gmail.com,80,Sao Paulo,2022-03-11 00:00:00,(16)97277-4831
536, Pedro Nunes ,pedro.nunesNone,92,BH,2021-02-14 00:00:00,
